Ticker,Company,CIK,Sector,CatalystType,CatalystDate,CatalystPrimaryLink,CatalystEvidencePrimaryLinks,CatalystEvidenceSecondaryLinks,HasDilutionFlag,DilutionForms,DilutionLinks,DilutionNotes,RunwayCash,RunwayQuarterlyBurn,RunwayQuarters,RunwayNotes,LatestForm,FiledAt,FilingURL,FilingsSummary,FilingURLsAll,FDA_EventType,FDA_Date,FDA_URL,FDA_URLsAll,FDA_Summary
ABEO,Abeona Therapeutics Inc.,0000318306,Healthcare,Corporate event / guidance / financing,2025-11-12,https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/form8-k.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315225021723/form10-q.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225023716/form10-q.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225023715/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225020227/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225017460/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225011452/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225009564/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225006584/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225006548/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000164117225003411/formdef14a.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315225010981/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315225010978/form10-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315225001051/forms-8.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224051060/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224045338/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224044862/formdef14a.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224044514/form8-k.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224042775/form8-k.htm,,TRUE,S-8,https://www.sec.gov/Archives/edgar/data/318306/000149315225001051/forms-8.htm,Recent dilution-related filings: S-8,,,,TODO: parse 10-Q/10-K to compute runway,8-K,2025-11-12,https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/form8-k.htm,"2025-11-12 | 10-Q | https://www.sec.gov/Archives/edgar/data/318306/000149315225021723/form10-q.htm | nan
2025-11-12 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/form8-k.htm | nan
2025-08-14 | 10-Q | https://www.sec.gov/Archives/edgar/data/318306/000164117225023716/form10-q.htm | nan
2025-08-14 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225023715/form8-k.htm | nan
2025-07-18 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225020227/form8-k.htm | nan
2025-07-02 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225017460/form8-k.htm | nan
2025-05-19 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225011452/form8-k.htm | nan
2025-05-15 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/form8-k.htm | nan
2025-05-12 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225009564/form8-k.htm | nan
2025-04-29 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225006584/form8-k.htm | nan
2025-04-29 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000164117225006548/form8-k.htm | nan
2025-04-09 | DEF 14A | https://www.sec.gov/Archives/edgar/data/318306/000164117225003411/formdef14a.htm | nan
2025-03-20 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000149315225010981/form8-k.htm | nan
2025-03-20 | 10-K | https://www.sec.gov/Archives/edgar/data/318306/000149315225010978/form10-k.htm | nan
2025-01-06 | S-8 | https://www.sec.gov/Archives/edgar/data/318306/000149315225001051/forms-8.htm | nan
2024-12-20 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000149315224051060/form8-k.htm | nan
2024-11-14 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000149315224045338/form8-k.htm | nan
2024-11-12 | DEF 14A | https://www.sec.gov/Archives/edgar/data/318306/000149315224044862/formdef14a.htm | nan
2024-11-12 | 8-K | https://www.sec.gov/Archives/edgar/data/318306/000149315224044514/form8-k.htm | nan
